path,label,hash
data\train\REAL\2417 (8).jpg,0,1b64ca85101c4e0c1b9fd508671285ac
data\train\FAKE\2400 (6).jpg,1,e3fcebf6ab77fc7cf13b5e7ce9fb2c2d
data\train\REAL\3251 (7).jpg,0,c4f0304e839ceebcda911dbecee52d1d
data\train\REAL\4991 (2).jpg,0,0cd4ded9c1afd6c7815d5e72833cdfc6
data\train\FAKE\2511.jpg,1,2249032f5e168b04c2508d8b1fc64478
data\train\FAKE\2875 (2).jpg,1,fc176adddc98b538b5f686b11a1d501a
data\train\FAKE\4904 (2).jpg,1,80604ae56743d7e41f02556015ef53e2
data\train\FAKE\4371 (9).jpg,1,4e9127c0dd4a2a7c826025b90c3e76de
data\train\REAL\2254 (8).jpg,0,3fc772af8231d301e045b5c3e117fc99
data\train\REAL\2112 (10).jpg,0,134e0c2cb09b8de274b3c370a535b31b
data\train\REAL\4296 (7).jpg,0,ca5e32fe2b0e1f9bb70aecfc679653f8
data\train\REAL\1603 (9).jpg,0,3318df163b0a26917f07b4bd20c970bb
data\train\FAKE\2682 (5).jpg,1,0e4856db71931845bf8230e36629b238
data\train\FAKE\5967 (8).jpg,1,c7a5b0eaaa2921580be389ee8c08abda
data\train\REAL\3553 (4).jpg,0,379b78f269d3eeda2a605e9052b847f0
data\train\FAKE\1090 (7).jpg,1,66e07aaabc0aa6d40468f803f9e93be1
data\train\FAKE\2731 (5).jpg,1,d3435dc636141f3eaa71b8124fe0df93
data\train\FAKE\4124 (4).jpg,1,d9b2a447125ccc718810724975bc8fa4
data\train\REAL\3493 (9).jpg,0,d786f652f50ef4bad6699f3095fceec6
data\train\FAKE\3565 (3).jpg,1,f19a45250804a965ddf0ce6f87c75c4b
data\train\FAKE\2556.jpg,1,50d3a4b4a393180c42f60c1df905596a
data\train\FAKE\1416 (8).jpg,1,54e2de3509bb4918e75214b611b580de
data\train\FAKE\5491.jpg,1,75945d72312bc6bad9e13573801abd24
data\train\FAKE\2240 (9).jpg,1,537345d697e2f336555bc752f613cc82
data\train\FAKE\4307 (10).jpg,1,96242e3753d415ee69048346e3264ef5
data\train\FAKE\5012 (10).jpg,1,5bbda28059626eb81f381a6a22a2d042
data\train\FAKE\4533 (10).jpg,1,0ec1f4efc4736625f0975e590cd5b3bd
data\train\FAKE\1148 (7).jpg,1,b93bd7accb54a941fdc7f300b4dd5b33
data\train\FAKE\5145 (7).jpg,1,b93bd7accb54a941fdc7f300b4dd5b33
data\train\FAKE\1992 (3).jpg,1,38bfe0ef29a765a4396afedba0160b4d
data\train\FAKE\5905 (3).jpg,1,38bfe0ef29a765a4396afedba0160b4d
data\train\REAL\2104 (8).jpg,0,9f9aea9a52447925102d66ee55ec2c12
data\train\REAL\4002 (5).jpg,0,2725f16f7f5690b068d9e2b7bb058974
data\train\FAKE\5582 (9).jpg,1,634bb8910155a9ba12b8365e94e75f74
data\train\REAL\3272 (3).jpg,0,3fff79452f9c0fe2d5abf57dc32a5529
data\train\FAKE\3228 (7).jpg,1,622095e955c0555965221d1867b67bcb
data\train\REAL\4592.jpg,0,f7622add8f08e703340457955b0d74fe
data\train\REAL\2546 (5).jpg,0,3d3b876b265fc87901180d2f32074aa3
data\train\REAL\1518.jpg,0,321d1b25262d84a3035ff358e7026595
data\train\REAL\2799 (8).jpg,0,3084029002e07145d052d131ee054658
data\train\REAL\2407 (3).jpg,0,6a596d0fca92c0a65d9177389fb3eaa3
data\train\REAL\3248.jpg,0,feea4d6b9f1b2f7c61014f3d0d5db5cd
data\train\REAL\0299 (9).jpg,0,78c687d376d636e7f6532d78e52d453c
data\train\FAKE\1742 (4).jpg,1,38265d0a0c31b74eec21efa2dde0416f
data\train\FAKE\2721.jpg,1,9b02000b7af72afb0858dd57fd6e559d
data\train\FAKE\3012 (5).jpg,1,cc1836b8db91fa5cf9793f46b8d4b0b9
data\train\FAKE\5162 (4).jpg,1,7e693e12648335d2dd238a904e3fbc87
data\train\REAL\0922 (7).jpg,0,edfbcc81d2bd6278eca311a4d76426bd
data\train\FAKE\2480 (2).jpg,1,0d66ca8e8442e1ea0b8055720b9085c2
data\train\REAL\2651 (5).jpg,0,ad6a41d3ec47794a35234a15b630af14
data\train\FAKE\1380 (8).jpg,1,c257584f36f832da147a59922a5f319c
data\train\REAL\0249 (7).jpg,0,7420587f544b7428e612ec4684ff271f
data\train\REAL\3603 (4).jpg,0,971ee8e91fb3185835c7fe25b5a1e2f6
data\train\REAL\2146 (10).jpg,0,bafa0a07dfd72d9ac78301277b653100
data\train\REAL\2452.jpg,0,990688469cb5f2dffd99806c5d44f392
data\train\FAKE\4318 (3).jpg,1,aedc96d1df22472a810d58a1e1416f91
data\train\REAL\0943 (8).jpg,0,2ba61b0298c308319d97679b3100cba7
data\train\REAL\4812.jpg,0,9fe62d27d6db2ed6e899b76c349fd2a2
data\train\REAL\1451 (4).jpg,0,5b0851457dfddc7707f2ef98a885ed9a
data\train\FAKE\3263 (6).jpg,1,6c41274abde5c17ecb5a74f1b75ed4a2
data\train\REAL\3010 (4).jpg,0,749ee450faf0827da9f0f5291d09eb0b
data\train\REAL\0465 (7).jpg,0,2e9b724c323db4b562463aa0ee633b68
data\train\REAL\1275 (7).jpg,0,1df8cc9554fbf0183d4a04761d52815a
data\train\FAKE\5273 (5).jpg,1,0386667cbde1e2b26e382b11fe178074
data\train\FAKE\1220 (2).jpg,1,e2d111507dedf3b834efcd995f05ab4a
