image,true_class,attack,original_probability,attacked_probability,probability_delta,original_prediction,attacked_prediction,prediction_flipped,original_strength,attacked_strength,strength_delta
TEMP_TEST\REAL\0000 (10).jpg,REAL,jpeg_70,7.904761150712147e-05,6.77660500514321e-05,-1.128156145568937e-05,0,0,0,0.9999209523884929,0.9999322339499486,1.128156145568937e-05
TEMP_TEST\REAL\0000 (10).jpg,REAL,jpeg_50,7.904761150712147e-05,0.00027538201538845897,0.0001963344038813375,0,0,0,0.9999209523884929,0.9997246179846115,-0.0001963344038813375
TEMP_TEST\REAL\0000 (10).jpg,REAL,resize_16_roundtrip,7.904761150712147e-05,0.01651512272655964,0.016436075115052518,0,0,0,0.9999209523884929,0.9834848772734404,-0.016436075115052518
TEMP_TEST\REAL\0000 (10).jpg,REAL,resize_8_roundtrip,7.904761150712147e-05,0.27399441599845886,0.27391536838695174,0,0,0,0.9999209523884929,0.7260055840015411,-0.27391536838695174
TEMP_TEST\REAL\0000 (10).jpg,REAL,gaussian_blur,7.904761150712147e-05,0.0029445411637425423,0.002865493552235421,0,0,0,0.9999209523884929,0.9970554588362575,-0.002865493552235421
TEMP_TEST\REAL\0000 (10).jpg,REAL,contrast_low,7.904761150712147e-05,0.00021034527162555605,0.00013129766011843458,0,0,0,0.9999209523884929,0.9997896547283744,-0.00013129766011843458
TEMP_TEST\REAL\0000 (10).jpg,REAL,contrast_high,7.904761150712147e-05,0.0005678004235960543,0.0004887528120889328,0,0,0,0.9999209523884929,0.999432199576404,-0.0004887528120889328
TEMP_TEST\REAL\0000 (10).jpg,REAL,brightness_low,7.904761150712147e-05,0.000664754188619554,0.0005857065771124326,0,0,0,0.9999209523884929,0.9993352458113804,-0.0005857065771124326
TEMP_TEST\REAL\0000 (10).jpg,REAL,brightness_high,7.904761150712147e-05,3.0576175049645826e-05,-4.847143645747565e-05,0,0,0,0.9999209523884929,0.9999694238249504,4.847143645747565e-05
TEMP_TEST\REAL\0000 (10).jpg,REAL,gaussian_noise,7.904761150712147e-05,0.00012542442709673196,4.637681558961049e-05,0,0,0,0.9999209523884929,0.9998745755729033,-4.637681558961049e-05
TEMP_TEST\REAL\0000 (2).jpg,REAL,jpeg_70,0.045471303164958954,0.03475860506296158,-0.010712698101997375,0,0,0,0.954528696835041,0.9652413949370384,0.010712698101997375
TEMP_TEST\REAL\0000 (2).jpg,REAL,jpeg_50,0.045471303164958954,0.10056400299072266,0.0550926998257637,0,0,0,0.954528696835041,0.8994359970092773,-0.0550926998257637
TEMP_TEST\REAL\0000 (2).jpg,REAL,resize_16_roundtrip,0.045471303164958954,0.30393457412719727,0.2584632709622383,0,0,0,0.954528696835041,0.6960654258728027,-0.2584632709622383
TEMP_TEST\REAL\0000 (2).jpg,REAL,resize_8_roundtrip,0.045471303164958954,0.7563853859901428,0.7109140828251839,0,1,1,0.954528696835041,0.7563853859901428,-0.19814331084489822
TEMP_TEST\REAL\0000 (2).jpg,REAL,gaussian_blur,0.045471303164958954,0.2687295079231262,0.22325820475816727,0,0,0,0.954528696835041,0.7312704920768738,-0.22325820475816727
TEMP_TEST\REAL\0000 (2).jpg,REAL,contrast_low,0.045471303164958954,0.01628389023244381,-0.029187412932515144,0,0,0,0.954528696835041,0.9837161097675562,0.029187412932515144
TEMP_TEST\REAL\0000 (2).jpg,REAL,contrast_high,0.045471303164958954,0.07892720401287079,0.033455900847911835,0,0,0,0.954528696835041,0.9210727959871292,-0.033455900847911835
TEMP_TEST\REAL\0000 (2).jpg,REAL,brightness_low,0.045471303164958954,0.04130490496754646,-0.004166398197412491,0,0,0,0.954528696835041,0.9586950950324535,0.004166398197412491
TEMP_TEST\REAL\0000 (2).jpg,REAL,brightness_high,0.045471303164958954,0.10347308218479156,0.05800177901983261,0,0,0,0.954528696835041,0.8965269178152084,-0.05800177901983261
TEMP_TEST\REAL\0000 (2).jpg,REAL,gaussian_noise,0.045471303164958954,0.09611018747091293,0.05063888430595398,0,0,0,0.954528696835041,0.9038898125290871,-0.05063888430595398
TEMP_TEST\REAL\0000 (3).jpg,REAL,jpeg_70,0.0061159864999353886,0.006247967481613159,0.00013198098167777061,0,0,0,0.9938840135000646,0.9937520325183868,-0.00013198098167777061
TEMP_TEST\REAL\0000 (3).jpg,REAL,jpeg_50,0.0061159864999353886,0.03628448024392128,0.03016849374398589,0,0,0,0.9938840135000646,0.9637155197560787,-0.03016849374398589
TEMP_TEST\REAL\0000 (3).jpg,REAL,resize_16_roundtrip,0.0061159864999353886,0.12110304087400436,0.11498705437406898,0,0,0,0.9938840135000646,0.8788969591259956,-0.11498705437406898
TEMP_TEST\REAL\0000 (3).jpg,REAL,resize_8_roundtrip,0.0061159864999353886,0.36746013164520264,0.36134414514526725,0,0,0,0.9938840135000646,0.6325398683547974,-0.36134414514526725
TEMP_TEST\REAL\0000 (3).jpg,REAL,gaussian_blur,0.0061159864999353886,0.03192821517586708,0.025812228675931692,0,0,0,0.9938840135000646,0.9680717848241329,-0.025812228675931692
TEMP_TEST\REAL\0000 (3).jpg,REAL,contrast_low,0.0061159864999353886,0.005849646870046854,-0.00026633962988853455,0,0,0,0.9938840135000646,0.9941503531299531,0.00026633962988853455
TEMP_TEST\REAL\0000 (3).jpg,REAL,contrast_high,0.0061159864999353886,0.02451399900019169,0.0183980125002563,0,0,0,0.9938840135000646,0.9754860009998083,-0.0183980125002563
TEMP_TEST\REAL\0000 (3).jpg,REAL,brightness_low,0.0061159864999353886,0.0073186131194233894,0.0012026266194880009,0,0,0,0.9938840135000646,0.9926813868805766,-0.0012026266194880009
TEMP_TEST\REAL\0000 (3).jpg,REAL,brightness_high,0.0061159864999353886,0.008910057134926319,0.0027940706349909306,0,0,0,0.9938840135000646,0.9910899428650737,-0.0027940706349909306
TEMP_TEST\REAL\0000 (3).jpg,REAL,gaussian_noise,0.0061159864999353886,0.01818942464888096,0.01207343814894557,0,0,0,0.9938840135000646,0.981810575351119,-0.01207343814894557
TEMP_TEST\REAL\0000 (4).jpg,REAL,jpeg_70,0.003001987235620618,0.004445056896656752,0.0014430696610361338,0,0,0,0.9969980127643794,0.9955549431033432,-0.0014430696610361338
TEMP_TEST\REAL\0000 (4).jpg,REAL,jpeg_50,0.003001987235620618,0.0017071780748665333,-0.0012948091607540846,0,0,0,0.9969980127643794,0.9982928219251335,0.0012948091607540846
TEMP_TEST\REAL\0000 (4).jpg,REAL,resize_16_roundtrip,0.003001987235620618,0.09622853994369507,0.09322655270807445,0,0,0,0.9969980127643794,0.9037714600563049,-0.09322655270807445
TEMP_TEST\REAL\0000 (4).jpg,REAL,resize_8_roundtrip,0.003001987235620618,0.6973336935043335,0.6943317062687129,0,1,1,0.9969980127643794,0.6973336935043335,-0.2996643192600459
TEMP_TEST\REAL\0000 (4).jpg,REAL,gaussian_blur,0.003001987235620618,0.032512884587049484,0.029510897351428866,0,0,0,0.9969980127643794,0.9674871154129505,-0.029510897351428866
TEMP_TEST\REAL\0000 (4).jpg,REAL,contrast_low,0.003001987235620618,0.004226952791213989,0.0012249655555933714,0,0,0,0.9969980127643794,0.995773047208786,-0.0012249655555933714
TEMP_TEST\REAL\0000 (4).jpg,REAL,contrast_high,0.003001987235620618,0.005872560665011406,0.002870573429390788,0,0,0,0.9969980127643794,0.9941274393349886,-0.002870573429390788
TEMP_TEST\REAL\0000 (4).jpg,REAL,brightness_low,0.003001987235620618,0.003624324221163988,0.0006223369855433702,0,0,0,0.9969980127643794,0.996375675778836,-0.0006223369855433702
TEMP_TEST\REAL\0000 (4).jpg,REAL,brightness_high,0.003001987235620618,0.0025622195098549128,-0.0004397677257657051,0,0,0,0.9969980127643794,0.9974377804901451,0.0004397677257657051
TEMP_TEST\REAL\0000 (4).jpg,REAL,gaussian_noise,0.003001987235620618,0.005254256073385477,0.002252268837764859,0,0,0,0.9969980127643794,0.9947457439266145,-0.002252268837764859
TEMP_TEST\REAL\0000 (5).jpg,REAL,jpeg_70,0.00038995835348032415,0.0001913021260406822,-0.00019865622743964195,0,0,0,0.9996100416465197,0.9998086978739593,0.00019865622743964195
TEMP_TEST\REAL\0000 (5).jpg,REAL,jpeg_50,0.00038995835348032415,0.0006628825212828815,0.00027292416780255735,0,0,0,0.9996100416465197,0.9993371174787171,-0.00027292416780255735
TEMP_TEST\REAL\0000 (5).jpg,REAL,resize_16_roundtrip,0.00038995835348032415,0.12669287621974945,0.12630291786626913,0,0,0,0.9996100416465197,0.8733071237802505,-0.12630291786626913
TEMP_TEST\REAL\0000 (5).jpg,REAL,resize_8_roundtrip,0.00038995835348032415,0.25524789094924927,0.25485793259576894,0,0,0,0.9996100416465197,0.7447521090507507,-0.25485793259576894
TEMP_TEST\REAL\0000 (5).jpg,REAL,gaussian_blur,0.00038995835348032415,0.010262488387525082,0.009872530034044757,0,0,0,0.9996100416465197,0.9897375116124749,-0.009872530034044757
