image,true_label,full_ai_probability,spatial_only_ai_probability,frequency_only_ai_probability,full_minus_spatial_only,full_minus_frequency_only,branch_disagreement,spatial_supports_ai,frequency_supports_ai,path
TEMP_TEST\0001 (3).jpg,REAL,0.7838691473007202,0.7820336222648621,0.5101863145828247,0.0018355250358581543,0.2736828327178955,0.27184730768203735,1,0,TEMP_TEST\REAL\0001 (3).jpg
TEMP_TEST\0002 (7).jpg,REAL,0.8625592589378357,0.8627512454986572,0.5060789585113525,-0.0001919865608215332,0.35648030042648315,0.3566722869873047,1,0,TEMP_TEST\REAL\0002 (7).jpg
TEMP_TEST\0005 (4).jpg,REAL,0.842556357383728,0.8416814208030701,0.5091308355331421,0.000874936580657959,0.33342552185058594,0.332550585269928,1,0,TEMP_TEST\REAL\0005 (4).jpg
TEMP_TEST\0005 (9).jpg,REAL,0.4757976830005646,0.4746037423610687,0.5102167129516602,0.0011939406394958496,-0.03441902995109558,0.03561297059059143,0,0,TEMP_TEST\REAL\0005 (9).jpg
TEMP_TEST\0007 (9).jpg,REAL,0.7228491306304932,0.7211685180664062,0.5086919665336609,0.001680612564086914,0.21415716409683228,0.21247655153274536,1,0,TEMP_TEST\REAL\0007 (9).jpg
TEMP_TEST\0007.jpg,REAL,0.9889788031578064,0.9888638257980347,0.5099101662635803,0.00011497735977172852,0.4790686368942261,0.47895365953445435,1,0,TEMP_TEST\REAL\0007.jpg
TEMP_TEST\0010.jpg,REAL,0.8403603434562683,0.8386467099189758,0.5097750425338745,0.0017136335372924805,0.3305853009223938,0.3288716673851013,1,0,TEMP_TEST\REAL\0010.jpg
TEMP_TEST\0013 (10).jpg,REAL,0.9679740071296692,0.9675741791725159,0.5102152228355408,0.0003998279571533203,0.4577587842941284,0.4573589563369751,1,0,TEMP_TEST\REAL\0013 (10).jpg
TEMP_TEST\0013.jpg,REAL,0.9794090390205383,0.979156494140625,0.5098245143890381,0.0002525448799133301,0.46958452463150024,0.4693319797515869,1,0,TEMP_TEST\REAL\0013.jpg
TEMP_TEST\0015 (5).jpg,REAL,0.016853025183081627,0.016754062846302986,0.5092904567718506,9.896233677864075e-05,-0.49243743158876896,0.4925363939255476,0,0,TEMP_TEST\REAL\0015 (5).jpg
TEMP_TEST\0019 (9).jpg,REAL,0.820693850517273,0.8187301754951477,0.509878396987915,0.001963675022125244,0.3108154535293579,0.30885177850723267,1,0,TEMP_TEST\REAL\0019 (9).jpg
TEMP_TEST\0022 (6).jpg,REAL,0.038407135754823685,0.038399599492549896,0.5098503232002258,7.536262273788452e-06,-0.47144318744540215,0.47145072370767593,0,0,TEMP_TEST\REAL\0022 (6).jpg
TEMP_TEST\0022 (9).jpg,REAL,0.41007474064826965,0.41606155037879944,0.5067101120948792,-0.005986809730529785,-0.0966353714466095,0.09064856171607971,0,0,TEMP_TEST\REAL\0022 (9).jpg
TEMP_TEST\0022.jpg,REAL,0.9010652303695679,0.9000403881072998,0.5104207992553711,0.0010248422622680664,0.3906444311141968,0.3896195888519287,1,0,TEMP_TEST\REAL\0022.jpg
TEMP_TEST\0023 (7).jpg,REAL,0.653905987739563,0.6539705395698547,0.5076171159744263,-6.455183029174805e-05,0.14628887176513672,0.14635342359542847,1,0,TEMP_TEST\REAL\0023 (7).jpg
TEMP_TEST\0030.jpg,REAL,0.3309532105922699,0.33081209659576416,0.5101283192634583,0.0001411139965057373,-0.17917510867118835,0.1793162226676941,0,0,TEMP_TEST\REAL\0030.jpg
TEMP_TEST\0031 (10).jpg,REAL,0.6310034394264221,0.6292601823806763,0.5094326734542847,0.0017432570457458496,0.12157076597213745,0.1198275089263916,1,0,TEMP_TEST\REAL\0031 (10).jpg
